Round Number,Date,Location,Home Team,Away Team,Group,Result
Round of 16 - Game 2,14/03/2018 20:45,"Camp Nou, Barcelona",Barcelona,Chelsea,,Mar-00
Qtr Finals - Game 1,3/4/2018 20:45,"Ramón Sánchez Pizjuán, Seville",Sevilla,Bayern Munich,,2-Jan
Qtr Finals - Game 1,3/4/2018 20:45,"Juventus Stadium, Turin",Juventus,Real Madrid,,0 - 3
Qtr Finals - Game 1,4/4/2018 20:45,"Anfield, Liverpool",Liverpool,Manchester City,,Mar-00
Qtr Finals - Game 1,4/4/2018 20:45,"Camp Nou, Barcelona",Barcelona,Roma,,1-Apr
Qtr Finals - Game 2,10/4/2018 20:45,"City of Manchester Stadium, Manchester",Manchester City,Liverpool,,2-Jan
Qtr Finals - Game 2,10/4/2018 20:45,"Stadio Olimpico, Rome",Roma,Barcelona,,Mar-00
Qtr Finals - Game 2,11/4/2018 20:45,"Allianz Arena, Munich",Bayern Munich,Sevilla,,0 - 0
Qtr Finals - Game 2,11/4/2018 20:45,"Santiago Bernabéu, Madrid",Real Madrid,Juventus,,3-Jan
Semi Finals - Game 1,24/04/2018 20:45,"Anfield, Liverpool",Liverpool,Roma,,2-May
Semi Finals - Game 1,25/04/2018 20:45,"Allianz Arena, Munich",Bayern Munich,Real Madrid,,2-Jan
Semi Finals - Game 2,1/5/2018 20:45,"Santiago Bernabéu, Madrid",Real Madrid,Bayern Munich,,2-Feb
Semi Finals - Game 2,2/5/2018 20:45,"Stadio Olimpico, Rome",Roma,Liverpool,,2-Apr
Final,26/05/2018 20:45,"NSC Olimpiyskiy, Ukraine",Real Madrid,Liverpool,,1-Mar
